,country
0,Macedonia
1,Poland
2,Colombia
3,Uzbekistan
4,Nepal
5,Vietnam
6,Syria
7,Morocco
8,Kenya
9,Iraq
10,Madagascar
11,Mali
12,Norway
13,Mexico
14,Ghana
15,Lithuania
16,Netherlands
17,Sudan
18,Lebanon
19,Germany
20,Austria
21,Nicaragua
22,Romania
23,Palestinian Territories
24,Jordan
25,Armenia
26,El Salvador
27,United Kingdom
28,Japan
29,Pakistan
30,Philippines
31,United Arab Emirates
32,Myanmar
33,Iran
34,Jamaica
35,Paraguay
36,Cambodia
37,Serbia
38,Finland
39,Senegal
40,Honduras
41,Hungary
42,Singapore
43,Tajikistan
44,North Cyprus
45,Montenegro
46,Mongolia
47,Hong Kong
48,Kosovo
49,Malta
50,Denmark
51,Algeria
52,Argentina
53,Estonia
54,Malawi
55,Tanzania
56,Egypt
57,Congo (Kinshasa)
58,Qatar
59,Uruguay
60,Indonesia
61,Gabon
62,Belgium
63,Ethiopia
64,Turkmenistan
65,"Bolivia, Plurinational State of"
66,Albania
67,Turkey
68,Uganda
69,Cyprus
70,Latvia
71,Burkina Faso
72,Zambia
73,Thailand
74,Kyrgyzstan
75,Zimbabwe
76,United States
77,Slovenia
78,Chile
79,Portugal
80,Ukraine
81,Azerbaijan
82,Slovakia
83,Bosnia and Herzegovina
84,Canada
85,Ireland
86,Peru
87,Luxembourg
88,Sierra Leone
89,Trinidad and Tobago
90,Czech Republic
91,Nigeria
92,China
93,Bangladesh
94,Kazakhstan
95,Cameroon
96,"Taiwan, Province of China"
97,Bahrain
98,Moldova
99,Libya
100,Georgia
101,Iceland
102,Rwanda
103,Togo
104,Dominican Republic
105,Brazil
106,Russia
107,Ivory Coast
108,Benin
109,Israel
110,Australia
111,Guatemala
112,Saudi Arabia
113,Switzerland
114,Botswana
115,South Africa
116,Kuwait
117,Burundi
118,Croatia
119,Mauritania
120,Angola
121,Panama
122,Guinea
123,Afghanistan
124,Chad
125,Bulgaria
126,Yemen
127,Malaysia
128,Bhutan
129,Niger
130,India
131,Spain
132,Belarus
133,Venezuela
134,Sweden
135,Sri Lanka
136,Liberia
137,France
138,Tunisia
139,New Zealand
140,Italy
141,Ecuador
142,Haiti
143,South Korea
144,Greece
145,Congo (Brazzaville)
146,Mauritius
147,Costa Rica
148,Comoros
149,Suriname
150,Namibia
151,South Sudan
152,Central African Republic
153,Belize
154,Mozambique
155,Lesotho
156,Somalia
157,Somaliland Region
158,Laos
159,Djibouti
160,Oman
161,Swaziland
162,Puerto Rico
